Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2228,19460101,20041231,883,47.8983,8.1055,Hinterzarten,Baden-Württemberg
2244,18810101,19981231,1008,47.7327,8.1627,Höchenschwand,Baden-Württemberg
2250,19260101,20051231,403,49.1279,12.8645,Höllenstein (Kraftwerk),Bayern
2252,18810101,20191231,270,50.899,14.7457,Bertsdorf-Hörnitz,Sachsen
2260,18890101,20061231,474,50.323,11.9077,Hof (Stadt),Bayern
2261,19470101,20191231,565,50.3123,11.876,Hof,Bayern
2264,19370101,20001231,242,51.5337,9.4786,Hofgeismar-Beberbeck,Hessen
2268,19380101,20061231,263,50.1352,10.5156,Hofheim,Bayern
2289,19540101,19661231,28,52.6667,12.3333,Hohennauen,Brandenburg
2290,17810101,20191231,977,47.8009,11.0108,Hohenpeißenberg,Bayern
2297,19730101,19941231,80,54.1195,9.7127,Hohenwestedt,Schleswig-Holstein
2302,19910101,19921231,317,50.9632,11.4847,Hohlstedt-Kötschau,Thüringen
2303,19370101,20191231,10,54.3146,9.539,Hohn,Schleswig-Holstein
2306,19780101,20191231,8,54.3194,10.6732,Hohwacht,Schleswig-Holstein
2315,20020101,20191231,81,51.7657,13.1666,Holzdorf (Flugplatz),Sachsen-Anhalt
2318,19990101,19991231,397,50.2182,7.9133,Holzhausen a.d. Haide,Rheinland-Pfalz
2319,19530101,20191231,685,47.8823,11.6961,Holzkirchen,Bayern
2323,19350101,20191231,110,51.8529,9.4953,"Bevern, Kr. Holzminden",Niedersachsen
2324,19760101,20071231,440,51.7659,9.5447,Holzminden-Silberborn,Niedersachsen
2327,19380101,19991231,250,50.7316,9.0032,Homberg/Ohm,Hessen
2331,19530101,20021231,235,49.3278,7.3533,Homburg/Saar,Saarland
2344,19430101,19631231,582,50.1511,11.698,Horlachen,Bayern
2349,19380101,20041231,1138,48.6136,8.2033,Hornisgrinde,Baden-Württemberg
2352,19550101,19701231,712,47.6227,8.0177,Hottingen,Baden-Württemberg
2354,19480101,19591231,118,51.4379,14.2426,Hoyerswerda (Ph),Sachsen
2360,19270101,19771231,438,48.6018,11.6769,Hüll,Bayern
2362,19830101,20191231,328,50.5651,7.4843,Hümmerich,Rheinland-Pfalz
2374,18810101,19731231,3,54.4752,9.0564,Husum,Schleswig-Holstein
2385,20030101,20191231,376,49.6927,7.3264,Idar-Oberstein,Rheinland-Pfalz
2388,19910101,20031231,193,48.0419,7.6322,Ihringen,Baden-Württemberg
2396,18870101,19501231,260,51.8667,10.6833,Ilsenburg,Sachsen-Anhalt
2406,19810101,20011231,209,49.2967,9.652,Ingelfingen,Baden-Württemberg
2409,18810101,19531231,360,48.7662,11.4539,Ingolstadt (Flussmeisterstelle),Bayern
2410,20170101,20191231,364,48.7112,11.5362,Ingolstadt (Flugplatz),Bayern
2417,19590101,19761231,621,48.1644,12.0307,Mittbach,Bayern
2422,19310101,19771231,230,51.3768,7.7644,Iserlohn-Westig,Nordrhein-Westfalen
2423,18810101,20031231,712,47.6894,10.0416,Isny,Baden-Württemberg
2429,20010101,20191231,21,53.9897,9.5696,Itzehoe,Schleswig-Holstein
2436,19950101,20061231,55,52.0547,13.2344,Jänickendorf,Brandenburg
2437,19990101,20181231,21,54.457,9.5203,Schleswig-Jagel,Schleswig-Holstein
2444,18240101,20191231,155,50.9251,11.583,Jena (Sternwarte),Thüringen
2451,19540101,20001231,77,51.7954,12.9583,Jessen/Elster,Sachsen-Anhalt
2456,18730101,20031231,7,53.5322,7.8806,Jever,Niedersachsen
2464,19370101,19891231,1,53.5316,9.6752,Jork,Niedersachsen
2474,19760101,20081231,91,50.9104,6.4093,Jülich (Forsch.-Anlage),Nordrhein-Westfalen
2475,19260101,19801231,75,52,13.1009,Jüterbog,Brandenburg
2477,19710101,20081231,728,47.5938,7.9597,Jungholz (Kühmoos),Baden-Württemberg
2480,18960101,20191231,107,50.0643,8.993,Kahl/Main,Bayern
2483,19290101,20191231,839,51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen
2485,20120101,20191231,489,48.917,9.6871,Kaisersbach-Cronhütte,Baden-Württemberg
2486,18810101,20191231,271,49.4262,7.7557,Kaiserslautern,Rheinland-Pfalz
2488,18940101,20011231,516,48.7701,10.7876,Kaisheim-Neuhof,Bayern
